2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007856 | FullSyncWorkflow | Starting sidecar gateway service checkin
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007861 | ExecutionClock | Policy measurement. ID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, Context: macAppInstall, Duration: 0.016588926315307617, Status: success
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007862 | AppPolicyHandler | Handling app policy finished. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, Primary BundleID: com.coconut-flavour.coconutBattery, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: Available
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007862 | ExecutionClock | Policy measurement. ID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, Context: macAppInstall, Duration: 0.01677405834197998, Status: success
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007866 | AppPolicyHandler | Handling app policy finished. PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, Primary BundleID: com.fatcatsoftware.pledpro, IgnoreVersion: false, Count: 1, AppType: DMG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:287 | IntuneMDM-Daemon | I | 89007866 | ExecutionClock | Policy measurement. ID: f2567800-c0a3-4742-ab42-567dc1450776, Context: macAppInstall, Duration: 0.01695096492767334, Status: success
2025-08-11 16:27:58:290 | IntuneMDM-Daemon | I | 89007865 | SpotlightSearcher | Found app with NSWorkspace PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, AppName: Spotify 1.2.65.255, AppType: PKG, BundleID: com.spotify.client
2025-08-11 16:27:58:290 | IntuneMDM-Daemon | I | 89007866 | SpotlightSearcher | Found app with NSWorkspace PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, AppName: Cyberduck 9.1.6, AppType: DMG, BundleID: ch.sudo.cyberduck
2025-08-11 16:27:58:290 | IntuneMDM-Daemon | I | 89007865 | AppPolicyHandler | Handling app policy finished. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, Primary BundleID: com.spotify.client, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:290 | IntuneMDM-Daemon | I | 89007865 | ExecutionClock | Policy measurement. ID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, Context: macAppInstall, Duration: 0.01935100555419922, Status: success
2025-08-11 16:27:58:290 | IntuneMDM-Daemon | I | 89007862 | AppPolicyHandler | Handling app policy finished. PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, Primary BundleID: ch.sudo.cyberduck, IgnoreVersion: false, Count: 1, AppType: DMG, App Policy Intent: Available
2025-08-11 16:27:58:290 | IntuneMDM-Daemon | I | 89007862 | ExecutionClock | Policy measurement. ID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, Context: macAppInstall, Duration: 0.019544005393981934, Status: success
2025-08-11 16:27:58:301 | IntuneMDM-Daemon | I | 89007866 | ScriptOrchestrationLogger | Finished system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:301 | IntuneMDM-Daemon | W | 89007866 | AppDetector | Error detecting install path for app. Error: BundleInfoProviderError.bundleNotFound, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, AppType: PKG, BundleID: dockutil.cli.tool, IgnoreVersion: false
2025-08-11 16:27:58:301 | IntuneMDM-Daemon | I | 89007866 | AppDetector | App not found on disk, trying to detect app receipt PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, BundleID: dockutil.cli.tool, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:301 | IntuneMDM-Daemon | I | 89007866 | ScriptOrchestrationLogger | Running system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:343 | IntuneMDM-Daemon | I | 89007861 | ScriptOrchestrationLogger | Finished system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:343 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Found receipt for PKG app. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, BundleID: dockutil.cli.tool, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:343 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Successfully detected app install through app receipt PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, BundleID: dockutil.cli.tool, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:343 | IntuneMDM-Daemon | I | 89007861 | AppDetector | App with specific bundle ID is installed on the device. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, BundleID: dockutil.cli.tool, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:343 | IntuneMDM-Daemon | I | 89007861 | AppInstallManager | App is not required to be installed PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, AppType: PKG, BundleID: dockutil.cli.tool
2025-08-11 16:27:58:343 | IntuneMDM-Daemon | I | 89007861 | ScriptOrchestrationLogger | Running system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:356 | IntuneMDM-Daemon | I | 89007853 | ScriptOrchestrationLogger | Finished system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:357 | IntuneMDM-Daemon | I | 89007853 | ScriptOrchestrationLogger | Running system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:368 | IntuneMDM-Daemon | I | 89007862 | ScriptOrchestrationLogger | Finished system script. Domain: apps, User: root, PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:368 | IntuneMDM-Daemon | I | 89007862 | AppPolicyHandler | Handling app policy finished. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, Primary BundleID: dockutil.cli.tool, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:368 | IntuneMDM-Daemon | I | 89007862 | ExecutionClock | Policy measurement. ID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, Context: macAppInstall, Duration: 0.09788405895233154, Status: success
2025-08-11 16:27:58:368 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | This policy has been executed on this device before the current check-in. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:369 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Compare current result object to the result object stored in the cache. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Cached app policy result matches the current policy result. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, PolicyResult: ["ResultCreatedTimeUTC": 2025-08-11T21:27:58Z, "PolicyId": 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, "PolicyVersion": 1, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "3.1.3";
            BundleId = "dockutil.cli.tool";
        }
    );
    AppType = 1;
    ApplicationName = "dockutil 3.1.3";
    ApplicationRequirements =     {
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "dockutil.cli.tool";
    TargetType = 2;
}, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "3.1.3";
    TargetType = 2;
}, "PolicyType": 12, "ApplicationName": dockutil 3.1.3, "Intent": 3], CachedPolicyResult: ["Policy": {
    AppInfos =     (
                {
            AppVersion = "3.1.3";
            BundleId = "dockutil.cli.tool";
        }
    );
    AppType = 1;
    ApplicationName = "dockutil 3.1.3";
    ApplicationRequirements =     {
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "dockutil.cli.tool";
    TargetType = 2;
}, "PolicyVersion": 1, "PolicyType": 12, "ApplicationName": dockutil 3.1.3, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "3.1.3";
    TargetType = 2;
}, "PolicyId": 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, "ResultCreatedTimeUTC": 2025-07-06T20:10:25Z, "Intent": 3]
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | This policy has been executed on this device before the current check-in. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:370 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Compare current result object to the result object stored in the cache. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Cached app policy result matches the current policy result. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, PolicyResult: ["PolicyVersion": 1, "PolicyId": a6a07cfd-1f03-4748-b57a-4da6832d6a35, "PolicyType": 12, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "1.2.69.449";
            BundleId = "com.spotify.client";
        }
    );
    AppType = 1;
    ApplicationName = "Spotify 1.2.69.449";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 11;
            MinorVersion = 0;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "a6a07cfd-1f03-4748-b57a-4da6832d6a35";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.spotify.client";
    TargetType = 2;
}, "ApplicationName": Spotify 1.2.69.449, "Intent": 3, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "1.2.69.449";
    TargetType = 2;
}, "ResultCreatedTimeUTC": 2025-08-11T21:27:58Z], CachedPolicyResult: ["PolicyId": a6a07cfd-1f03-4748-b57a-4da6832d6a35, "PolicyType": 12, "ApplicationName": Spotify 1.2.69.449, "PolicyVersion": 1, "Policy": {
    AppInfos =     (
                {
            AppVersion = "1.2.69.449";
            BundleId = "com.spotify.client";
        }
    );
    AppType = 1;
    ApplicationName = "Spotify 1.2.69.449";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 11;
            MinorVersion = 0;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "a6a07cfd-1f03-4748-b57a-4da6832d6a35";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.spotify.client";
    TargetType = 2;
}, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "ResultCreatedTimeUTC": 2025-07-31T19:46:19Z, "Intent": 3, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "1.2.69.449";
    TargetType = 2;
}]
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | This policy has been executed on this device before the current check-in. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:371 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Compare current result object to the result object stored in the cache. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Cached app policy result matches the current policy result. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, PolicyResult: ["PolicyVersion": 1, "PolicyId": e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, "PolicyType": 12, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "4.0.4";
            BundleId = "com.coconut-flavour.coconutBattery";
        }
    );
    AppType = 1;
    ApplicationName = "coconutBattery 4.0.4";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 12;
            MinorVersion = 0;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 1;
    IgnoreVersioning = 0;
    Intent = 1;
    PolicyId = "e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.coconut-flavour.coconutBattery";
    TargetType = 1;
}, "ApplicationName": coconutBattery 4.0.4, "Intent": 1, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 4;
    InstallContext = 2;
    ProductVersion = "4.0.4";
    TargetType = 1;
}, "ResultCreatedTimeUTC": 2025-08-11T21:27:58Z], CachedPolicyResult: ["ResultCreatedTimeUTC": 2025-07-06T20:40:48Z, "PolicyId": e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, "PolicyVersion": 1, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "4.0.4";
            BundleId = "com.coconut-flavour.coconutBattery";
        }
    );
    AppType = 1;
    ApplicationName = "coconutBattery 4.0.4";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 12;
            MinorVersion = 0;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 1;
    PolicyId = "e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.coconut-flavour.coconutBattery";
    TargetType = 1;
}, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 4;
    InstallContext = 2;
    ProductVersion = "4.0.4";
    TargetType = 1;
}, "PolicyType": 12, "ApplicationName": coconutBattery 4.0.4, "Intent": 1]
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | This policy has been executed on this device before the current check-in. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Compare current result object to the result object stored in the cache. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Cached app policy result matches the current policy result. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, PolicyResult: ["PolicyVersion": 1, "PolicyId": 2cab453d-9c86-4834-ba51-c5b96886e0e7, "PolicyType": 12, "Policy": {
    AppInfos =     (
                {
            AppVersion = "1.2.65.255";
            BundleId = "com.spotify.client";
        }
    );
    AppType = 1;
    ApplicationName = "Spotify 1.2.65.255";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 11;
            MinorVersion = 0;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "2cab453d-9c86-4834-ba51-c5b96886e0e7";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.spotify.client";
    TargetType = 2;
}, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "ApplicationName": Spotify 1.2.65.255, "Intent": 3, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "1.2.65.255";
    TargetType = 2;
}, "ResultCreatedTimeUTC": 2025-08-11T21:27:58Z], CachedPolicyResult: ["PolicyVersion": 1, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "1.2.65.255";
    TargetType = 2;
}, "Intent": 3, "ResultCreatedTimeUTC": 2025-06-04T18:34:46Z, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "1.2.65.255";
            BundleId = "com.spotify.client";
        }
    );
    AppType = 1;
    ApplicationName = "Spotify 1.2.65.255";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 11;
            MinorVersion = 0;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "2cab453d-9c86-4834-ba51-c5b96886e0e7";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.spotify.client";
    TargetType = 2;
}, "ApplicationName": Spotify 1.2.65.255, "PolicyType": 12, "PolicyId": 2cab453d-9c86-4834-ba51-c5b96886e0e7]
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | This policy has been executed on this device before the current check-in. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:372 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Compare current result object to the result object stored in the cache. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Cached app policy result matches the current policy result. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, PolicyResult: ["PolicyVersion": 1, "PolicyId": cd86907b-3b40-4472-9f5f-e673a832b77d, "PolicyType": 12, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "5.23.22318";
            BundleId = "com.amazon.Amazon-Chime";
        }
    );
    AppType = 0;
    ApplicationName = "Amazon Chime 5.23.22318";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 10;
            MinorVersion = 15;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "cd86907b-3b40-4472-9f5f-e673a832b77d";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.amazon.Amazon-Chime";
    TargetType = 2;
}, "ApplicationName": Amazon Chime 5.23.22318, "Intent": 3, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "5.23.22318";
    TargetType = 2;
}, "ResultCreatedTimeUTC": 2025-08-11T21:27:58Z], CachedPolicyResult: ["ResultCreatedTimeUTC": 2025-05-18T06:33:57Z, "Policy": {
    AppInfos =     (
                {
            AppVersion = "5.23.22318";
            BundleId = "com.amazon.Amazon-Chime";
        }
    );
    AppType = 0;
    ApplicationName = "Amazon Chime 5.23.22318";
    ApplicationRequirements =     {
        MinOSVersion =         {
            MajorVersion = 10;
            MinorVersion = 15;
        };
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 0;
    IgnoreVersioning = 0;
    Intent = 3;
    PolicyId = "cd86907b-3b40-4472-9f5f-e673a832b77d";
    PolicyVersion = 1;
    PrimaryApplicationBundleId = "com.amazon.Amazon-Chime";
    TargetType = 2;
}, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "PolicyVersion": 1, "ApplicationName": Amazon Chime 5.23.22318, "PolicyType": 12, "PolicyId": cd86907b-3b40-4472-9f5f-e673a832b77d, "Intent": 3, "ComplianceStateMessage": {
    Applicability = 0;
    ComplianceState = 1;
    DesiredState = 2;
    InstallContext = 2;
    ProductVersion = "5.23.22318";
    TargetType = 2;
}]
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | This policy has been executed on this device before the current check-in. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | I | 89007862 | CoreDataAppStateChangePersistence | Fetch app policy state change records. PolicyID: []
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | E | 89007862 | CoreDataAppStateChangePersistence | Failed to process AppStateChangeItem Error: AppStateChangeError.decodingFailure
2025-08-11 16:27:58:373 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Compare current result object to the result object stored in the cache. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd
2025-08-11 16:27:58:374 | IntuneMDM-Daemon | I | 89007862 | AppResultStateChangeManager | Cached app policy result matches the current policy result. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, PolicyResult: ["PolicyVersion": 1, "PolicyId": e33551de-0398-4441-98b4-d8b6de28a4cd, "PolicyType": 12, "EnforcementStateMessage": {
    EnforcementState = 1000;
}, "Policy": {
    AppInfos =     (
                {
            AppVersion = "6.7.0.278";
            BundleId = "com.adobe.acc.AdobeCreativeCloud";
        }
    );
    AppType = 1;
    ApplicationName = "CreativeCloud 6.7.0.278 arm64";
    ApplicationRequirements =     {
        SupportedArchitecture = 0;
    };
    AvailableAppEnforcement = 1;
    IgnoreVersioning = 0;
    Intent = 1;
    PolicyId = "e33551de-0398-4441-98b4-d8b6de28a4cd";
    PolicyVersion = 1;
    PostInstallScript =     {
